time, alt, vknot, gvw, DYNANG, Nmr, Ntr, Nt, N1, N2, N3, Qmr, Qtr, Q1, Q2, Q3, qgas1, qgas2, qgas3, qtotload, qmrload, qtrload
0.438, 3000, 0.01, 46000, 70, 14370.8, 14335, 14345.2, 14345.1, 14345.1, 14345.1, 3647.04, 317.138, 1316.73, 1316.81, 1316.73, 1330.27, 1330.27, 1330.27, 3724.23, 3410.89, 313.339,
0.444, 3000, 0.01, 46000, 70, 14372.2, 14335.5, 14345.9, 14345.8, 14345.8, 14345.8, 3642.8, 320.286, 1316.25, 1316.31, 1316.25, 1330.27, 1330.27, 1330.27, 3723.89, 3410.55, 313.336,
0.45, 3000, 0.01, 46000, 70, 14373.6, 14336.3, 14346.6, 14346.5, 14346.5, 14346.5, 3638.46, 323.463, 1315.78, 1315.8, 1315.78, 1330.27, 1330.27, 1330.27, 3723.54, 3410.22, 313.326,
0.456, 3000, 0.01, 46000, 70, 14375, 14337.4, 14347.4, 14347.3, 14347.3, 14347.3, 3634.02, 326.584, 1315.28, 1315.26, 1315.28, 1330.27, 1330.27, 1330.27, 3723.2, 3409.89, 313.308,
0.462, 3000, 0.01, 46000, 70, 14376.3, 14338.8, 14348.2, 14348.1, 14348.1, 14348.1, 3629.49, 329.566, 1314.7, 1314.64, 1314.7, 1330.27, 1330.27, 1330.27, 3722.86, 3409.57, 313.285,
0.468, 3000, 0.01, 46000, 70, 14377.6, 14340.4, 14349, 14348.9, 14348.9, 14348.9, 3624.88, 332.334, 1314.01, 1313.93, 1314.01, 1330.27, 1330.27, 1330.27, 3722.51, 3409.26, 313.254,
0.474, 3000, 0.01, 46000, 70, 14378.8, 14342.3, 14349.9, 14349.8, 14349.8, 14349.8, 3620.21, 334.817, 1313.23, 1313.15, 1313.23, 1330.27, 1330.27, 1330.27, 3722.17, 3408.95, 313.218,
0.48, 3000, 0.01, 46000, 70, 14380.1, 14344.5, 14350.8, 14350.7, 14350.7, 14350.7, 3615.48, 336.96, 1312.35, 1312.29, 1312.35, 1330.27, 1330.27, 1330.27, 3721.83, 3408.65, 313.176,
0.486, 3000, 0.01, 46000, 70, 14381.3, 14346.7, 14351.8, 14351.6, 14351.6, 14351.6, 3610.7, 338.719, 1311.34, 1311.32, 1311.34, 1330.27, 1330.27, 1330.27, 3721.49, 3408.36, 313.13,
0.492, 3000, 0.01, 46000, 70, 14382.4, 14349.2, 14352.9, 14352.6, 14352.6, 14352.6, 3605.9, 340.065, 1310.21, 1310.23, 1310.21, 1330.27, 1330.27, 1330.27, 3721.16, 3408.08, 313.08,
0.498, 3000, 0.01, 46000, 70, 14383.6, 14351.7, 14353.9, 14353.7, 14353.7, 14353.7, 3601.09, 340.982, 1308.97, 1309.02, 1308.97, 1330.27, 1330.27, 1330.27, 3720.83, 3407.81, 313.027,
0.504, 3000, 0.01, 46000, 70, 14384.7, 14354.2, 14355.1, 14354.8, 14354.8, 14354.8, 3596.27, 341.469, 1307.64, 1307.71, 1307.64, 1330.27, 1330.27, 1330.27, 3720.51, 3407.54, 312.973,
0.51, 3000, 0.01, 46000, 70, 14385.7, 14356.7, 14356.3, 14356, 14356, 14356, 3591.47, 341.541, 1306.22, 1306.3, 1306.22, 1330.27, 1330.27, 1330.27, 3720.19, 3407.28, 312.917,
